"","x"
"1",891.963222668469
"2",36.9622427721259
"3",338.378807035912
"4",777.365411657398
"5",309.10189552965
"6",703.221921716181
"7",792.215627831344
"8",357.793727335148
"9",473.123608799937
"10",368.854127853195
"11",595.116916975219
"12",1029.78175613503
"13",1351.56779081665
"14",86.6209205253259
"15",498.67999110468
"16",158.119170980305
"17",45.4953550775805
"18",1464.86751194799
"19",258.095150762828
"20",1164.88574402771
"21",335.124440633768
"22",426.850279618114
"23",522.290746860742
"24",231.33655273349
"25",2213.11802852178
"26",295.538297901846
"27",341.568037469631
"28",991.007643265848
"29",1635.47221489552
"30",657.144982966203
"31",1416.8487905943
"32",469.293262701517
"33",2515.03429648965
"34",880.908876549694
"35",767.421714627687
"36",1042.11082042659
"37",743.83389515607
"38",681.06066360948
"39",839.055116377812
"40",345.26503014165
"41",4345.3730043054
"42",318.72045060451
"43",53.1220158851479
"44",882.010855486664
"45",1754.7383180741
"46",644.722735970199
"47",409.460030904326
"48",1406.71534354641
"49",165.414438692278
"50",363.888117580883
"51",121.680485177929
"52",414.203276719319
"53",1314.22069055523
"54",2119.48784115521
"55",609.463390308706
"56",3651.25703725804
"57",1313.60895755505
"58",2395.19352410616
"59",1249.07970300697
"60",44.6779555707583
"61",595.076388715541
"62",1663.56973677568
"63",2276.62355333677
"64",257.785559718698
"65",2313.49145294485
"66",2066.05289122086
"67",3065.15858591814
"68",3106.47394428943
"69",87.4980897504257
"70",1417.21210171344
"71",249.57887893025
"72",715.887156100211
"73",716.161955180729
"74",2422.20025049643
"75",1745.19893243284
"76",644.462037518557
"77",1411.77600523555
"78",846.996216092508
"79",862.340437152954
"80",653.313600617951
"81",136.959482790975
"82",250.284893428265
"83",534.186824318634
"84",722.934767421672
"85",21.4390564546316
"86",857.579740319272
"87",1631.86562517682
"88",4163.62321625061
"89",1333.6557985404
"90",363.041765082666
"91",2700.43771252113
"92",837.097646873046
"93",536.927524060064
"94",586.225188785925
"95",471.715633031635
"96",917.485018423567
"97",1063.77953659689
"98",686.354856459811
"99",429.502511247133
"100",1981.55872774841
"101",486.957193135204
"102",1813.15447384642
"103",489.922960667088
"104",1342.21842789819
"105",917.495325492003
"106",604.503851888621
"107",568.493017015449
"108",467.327410129832
"109",664.46575718917
"110",1822.19139867227
"111",2416.51412124191
"112",2221.29453851202
"113",719.915358570434
"114",1517.4121758613
"115",660.322118172525
"116",504.867962643221
"117",1306.12428709377
"118",2231.85791656968
"119",1140.68657932719
"120",265.967544436693
"121",2373.80842804001
"122",585.101419643097
"123",2175.1719645966
"124",2128.07392996224
"125",1457.50649341812
"126",1104.85336456119
"127",910.786629178176
"128",2744.52420094396
"129",594.376629389645
"130",879.143658919886
"131",108.815789734552
"132",869.937617539468
"133",434.38233298029
"134",3913.82351913773
"135",1189.64000806914
"136",1515.76981118274
"137",90.958995911432
"138",170.245359772138
"139",1071.07655512752
"140",2056.38503021102
"141",1241.01876487868
"142",1071.50897292889
"143",479.397366386514
"144",586.249556196363
"145",606.293272697688
"146",282.442860615943
"147",1456.31051416955
"148",529.400342484184
"149",899.720211043369
"150",570.133108044177
"151",632.981080094084
"152",2439.52500538902
"153",436.543743037346
"154",2201.24390944436
"155",402.184674379328
"156",136.185304787655
"157",2087.44360726322
"158",1748.3148916833
"159",972.602551852912
"160",2029.37486948732
"161",652.391605952922
"162",1284.20582805383
"163",353.084079463143
"164",1578.72572337844
"165",1079.05650808011
"166",1950.18952097296
"167",569.238540771109
"168",386.563166695073
"169",1078.7139301447
"170",421.181337336366
"171",262.065720729162
"172",757.730068747286
"173",724.927106185829
"174",1659.74639953278
"175",1639.14263918416
"176",2737.39730952975
"177",396.582297488122
"178",3606.74341011598
"179",1363.85644168931
"180",1587.10491626339
"181",1066.73781584695
"182",1539.40916994367
"183",1459.98778116377
"184",962.663984531409
"185",783.849353962012
"186",3032.91696154223
"187",1956.50417638799
"188",918.614434229678
"189",1746.25952565893
"190",1099.65494706076
"191",1707.97754869047
"192",936.329961970077
"193",417.359982353639
"194",924.765201864874
"195",384.6174862365
"196",1175.51865255422
"197",1252.13060235946
"198",330.608345294031
"199",1641.55181410141
"200",2354.11957422169
"201",3170.58338760549
"202",771.017828951773
"203",1067.97369386933
"204",332.419783346181
"205",1094.27510209551
"206",980.128397732906
"207",4254.80176237687
"208",1967.03150347208
"209",2206.59486716574
"210",164.89853443534
"211",201.241688811335
"212",119.860006289516
"213",1447.0671117704
"214",257.296507698794
"215",386.81147397758
"216",125.212172510142
"217",187.303255455691
"218",225.382590684839
"219",328.953216410119
"220",98.993908884105
"221",257.843485043813
"222",315.008381363949
"223",606.525218254417
"224",3115.42670623536
"225",1.52574152175081
"226",1308.77977027037
"227",898.977414737954
"228",838.165751237358
"229",896.556835295575
"230",789.574874686879
"231",1670.96713915873
"232",902.606040181692
"233",579.056046075401
"234",3380.6100902305
"235",1093.66889777569
"236",478.71249347068
"237",3913.25086631691
"238",1340.69445214845
"239",2204.70411801586
"240",2460.87895635041
"241",298.795523062246
"242",1235.13622628409
"243",678.584904016625
"244",1736.64726828817
"245",1200.29954290718
"246",647.349318715242
"247",5699.11369815782
"248",484.198879692847
"249",3197.67445103197
"250",474.785296467104
"251",355.7784889499
"252",1114.69576925251
"253",1076.16979917834
"254",403.448465516693
"255",1606.95100822571
"256",241.223595755733
"257",947.806236912581
"258",1248.0312943038
"259",643.334666306526
"260",3048.91982980265
"261",449.931291299181
"262",360.480689319224
"263",550.113429123117
"264",814.838033263394
"265",2425.75351883865
"266",582.680121155884
"267",2017.05404568808
"268",802.125861345729
"269",2.72318214280826
"270",1013.9125330666
"271",2894.33841993461
"272",447.901635976057
"273",1307.59662487992
"274",1355.19055236895
"275",2783.70123140032
"276",1145.72511494187
"277",634.671200143414
"278",874.750917176722
"279",645.311601097954
"280",1183.51490046592
"281",3004.22998417103
"282",2475.34795737366
"283",220.962257549736
"284",536.58524895647
"285",1570.34295410761
"286",1439.18207508227
"287",1183.10421231324
"288",674.834926549426
"289",3358.41238803534
"290",1131.52119355526
"291",622.709395887907
"292",1387.02851109462
"293",1206.24913472518
"294",577.971297028272
"295",3136.0089187309
"296",1312.14658011327
"297",201.534827557521
"298",358.510443852765
"299",3460.0244852179
"300",214.267830901974
"301",517.324422302727
"302",1121.409737072
"303",92.7677627344195
"304",582.313830298571
"305",725.805885371125
"306",272.298820106022
"307",1499.56457539976
"308",3552.04054426512
"309",1233.7533786433
"310",222.062413804812
"311",443.563347535989
"312",398.258448780352
"313",432.241681111911
"314",425.875028601738
"315",415.775846322637
"316",2500.82591266994
"317",482.417145283517
"318",195.291835344701
"319",1304.3314874089
"320",1040.15910269121
"321",1363.00103156909
"322",1789.65811948477
"323",1751.01613559845
"324",2942.09446739699
"325",988.366439196028
"326",1419.2281712105
"327",1102.07310496147
"328",427.998761169137
"329",2350.75598198136
"330",1921.46666741547
"331",1327.55153842743
"332",2349.71705202338
"333",1072.47707862415
"334",3042.00151831595
"335",1220.37974923214
"336",1207.75963671923
"337",2504.94798598462
"338",790.377973598515
"339",281.251274655296
"340",423.930442260947
"341",802.830520829015
"342",361.369850488023
"343",262.51500598905
"344",270.592191739721
"345",751.555446999069
"346",571.135783216735
"347",744.514326755462
"348",414.000588170205
"349",587.468439815586
"350",420.569778376987
"351",426.249375456394
"352",642.167326124567
"353",176.399955811722
"354",196.266180668192
"355",273.508572432382
"356",1247.01782050121
"357",1001.50169722434
"358",1289.68650710054
"359",1280.63502154376
"360",1478.53584965029
"361",514.186146661002
"362",2070.13749065337
"363",1566.79717606973
"364",1348.53353564222
"365",592.377476390656
"366",414.910625127119
"367",479.416998157905
"368",687.143766857744
"369",1360.78877771775
"370",271.89896432815
"371",265.571440398058
"372",1259.16770275254
"373",641.310174779775
"374",647.020595173182
"375",1290.32024305821
"376",527.438925926678
"377",638.763640313635
"378",348.887027941299
"379",1968.79751424887
"380",1117.04214059248
"381",546.725147183452
"382",6263.50882741369
"383",1344.68749867102
"384",576.581547501469
"385",1040.99120506637
"386",611.61862113323
"387",733.605699777599
"388",718.586235860309
"389",2053.09415642224
"390",235.615916954418
"391",87.182601186589
"392",799.985114846233
"393",518.356738874123
"394",1868.91595417839
"395",484.520352953947
"396",460.137142276033
"397",485.027571382994
"398",863.907703242788
"399",514.693539661589
"400",1187.01314173024
"401",409.593416630826
"402",2059.18112581185
"403",344.856483291963
"404",664.460350550425
"405",760.733622658533
"406",437.359714710649
"407",813.074154965651
"408",1157.94986948637
"409",1108.00526341381
"410",845.023915271719
"411",237.427741491199
"412",6088.10643540441
"413",449.539099270621
"414",475.495909777974
"415",243.307625974856
"416",494.639042543802
"417",471.331934852749
"418",1050.54416647312
"419",1396.91901254369
"420",1813.35002912176
"421",469.318237393263
"422",2039.30603856382
"423",660.655501472263
"424",520.114871011956
"425",633.528302504132
"426",337.019123122677
"427",1593.51235670281
"428",1478.79161940013
"429",1200.80898967093
"430",2423.76176988245
"431",356.723337863426
"432",876.668259869942
"433",584.222693024134
"434",601.564872962034
"435",1157.63850020863
"436",1342.56538051294
"437",1326.30932243354
"438",564.598339885737
"439",3023.70068593526
"440",2292.77437376848
"441",2013.01583138185
"442",695.005528123856
"443",815.647098049635
"444",1251.5384256709
"445",900.335062106206
"446",481.33434086573
"447",516.587055893003
"448",2101.48545367745
"449",1259.94998896751
"450",1306.40245820141
"451",6292.57598928228
"452",671.336077077853
"453",940.29020815126
"454",381.378169130329
"455",1812.64860267621
"456",1488.51774925692
"457",3333.43303432798
"458",213.153118860689
"459",625.04065972656
"460",1967.11955302878
"461",1952.03570265263
"462",965.422535584184
"463",574.641346861766
"464",2255.69242163858
"465",1144.8193221356
"466",1553.37628314913
"467",1193.71797165701
"468",359.60343295989
"469",1483.51685896263
"470",1857.71801073403
"471",1301.70850217061
"472",810.922198604325
"473",613.166899135228
"474",317.643048275113
"475",1254.41392927739
"476",511.539598674255
"477",808.439399676654
"478",1780.42911553019
"479",1730.10448082691
"480",1294.38914821132
"481",1518.16355637196
"482",1427.41277873599
"483",1227.33713563118
"484",500.955078339871
"485",1298.82507761517
"486",1319.55394259084
"487",2360.66414574117
"488",809.165816588302
"489",1593.57797284745
"490",696.791310849481
"491",388.837849981286
"492",4309.91945572655
"493",784.924923902039
"494",1181.86108730514
