"id","loss","AR","MA","raw_mean","raw_variance","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63"
"2014-09-17_13-55-11_UTC.act33551.dx1018.id-2.R.png",-15160,0.141871837650505,0.0832670768204995,614.1395348837209,58.1665765278529,406.065672353,310.850513448,253.155078652,228.535308307,45.0819621934,38.1818994281,154.396950047,138.5812702,94.7970948419,80.5589490623,82.4186279396,48.0259512551,48.3246802702,49.9723788782,55.9185708439,34.7535232293,18.0996053868,80.7614105364,22.6877286478,31.3546252954,13.7821024856,3.90330814619,24.18814269,41.0369467225,46.4302026321,36.5866663558,23.770679903,19.1534090372,22.516672727,11.3489735417,25.414118063,30.4861781567,12.6989365535,10.8146520545,16.1364381532,20.1729151611,31.9353296975,5.66910150853,17.4634814682,20.790743274,21.4308610516,27.0840502921,19.6723155729,9.06637727577,13.2004179202,15.3957878923,21.4752829166,7.4044219779,7.22891491158,10.8433906139,6.95956523571,14.766720842,23.2884601184,11.3627572673,7.97928164427,18.8380326273,12.2576056517,21.0894028731,16.4373541671,15.842141067,14.3770536988,1.21795945828,9.32623549781
"2014-09-17_13-55-11_UTC.act33551.dx1018.id-4.L.png",-14723,-0.571906095125665,0.712420215131809,224.7906976744186,9.421308815575989,173.531269076,116.822826902,21.3861881938,66.9382458018,72.7759166916,36.5246540857,50.9236984464,12.3780174878,15.0756487286,62.0740337955,30.2887769474,7.30371364782,19.5954845433,20.7114726882,41.5534123283,28.2608770736,28.779806661,24.9444225338,36.220617022,39.0345702977,22.4099323104,3.51498975597,5.67283837892,19.4005091981,9.41113638427,28.1604852155,12.4574188518,24.1318860841,18.6227772804,27.4640342765,15.3082061885,12.8643943742,20.5184316265,15.099627016,20.9680087967,11.0318366537,10.670051829,10.8506268831,4.8753288934,8.23150521774,8.7684685792,13.5385788725,6.0,14.2052330549,4.6453893818,5.19693799625,20.6668094092,9.95741808736,6.53165847195,10.4461484017,17.9772852744,6.7626382319,10.8387652958,4.59557584387,5.13977137559,2.67770442259,8.39298951812,5.38523946991,6.13002332624,2.99037607014,3.74533303487,5.73622677036,4.77699213336
"2014-09-17_13-55-11_UTC.act33551.dx1018.id-4.R.png",-13915.5,0.339835648059091,-0.286202772689822,224.73643410852713,11.697974881317231,183.786297975,124.012791591,20.8305700756,67.320311531,82.7566628393,61.4434855631,68.3188434284,35.9288500936,51.2972328721,89.9051339759,24.3235560145,12.0129814443,14.7013085756,19.3702042854,31.8779260386,47.4268092156,18.0555799965,47.3357476863,38.1312430505,19.8960970339,27.9717056361,9.82712322392,23.7383685534,25.8505249204,17.4887297949,17.226782277,8.94411535465,4.81179670256,10.6614587757,7.22337032662,7.40988789523,7.572627462,11.513401773,1.56045863045,13.8246360729,8.58335493994,11.4597668686,17.9661478858,5.59497588678,3.7474617015,12.2563567587,2.54269961355,4.0,13.6589328699,9.45945517823,15.5087476169,5.14406079265,11.4191008922,9.78153898638,5.46073010665,19.4041371261,10.4444144691,13.7384963308,14.3557739689,20.9929173724,5.82522162474,6.1782204796,17.3268095355,6.96596903824,6.0555142504,4.11527278008,5.26476983683,4.58531531732
"2014-09-17_13-55-12_UTC.act33551.dx1018.id-5.L.png",-16118.5,-0.325263048420504,0.706435049369276,493.13178294573646,23.215191394747915,248.374523957,117.733975563,214.999782144,98.590877069,117.657784267,30.451353241,115.066196123,54.8144303808,50.9879060921,53.6829038818,90.018822444,13.2071975561,36.0337957281,64.516211253,17.9127940081,16.4370004751,31.7356932018,28.8759301974,7.87891683016,10.6287426249,25.2800278025,23.7085582022,25.2638779016,20.4285015451,13.3007212965,9.21439519498,24.5068082277,18.4409858589,28.4742960332,22.1455606339,24.0359339671,14.1055632537,17.2191193808,15.5601431006,12.0667776779,2.22214523325,18.4152962397,8.89460023573,10.9969293478,9.20151681281,16.3067020401,9.49676651745,8.54400374532,10.4178863515,3.72951676801,18.1045377663,5.72738949722,3.71025112478,16.5526479671,6.55668812885,1.30231750901,6.76005679934,15.7737145389,6.12098895026,2.25182424393,6.20597835448,8.48143509434,2.98120862821,4.98653198234,10.7420884147,4.6260323335,8.00747834387,4.3346946296
"2014-09-17_13-55-12_UTC.act33551.dx1018.id-5.R.png",-15751.5,0.196544808668856,0.126520102946153,493.08527131782944,21.07024818220059,248.513089987,137.622441982,197.17659621,92.2717477303,89.6353577396,28.2027937411,100.877371885,73.0762570343,40.6239188177,58.464415888,60.438473083,12.615860315,27.7223901671,57.8096255334,21.7048920173,33.5513455401,36.0649829322,33.3776631065,15.0856208155,18.4371705045,7.94990391509,13.3437168525,12.3879597292,16.7574246275,9.17178393917,16.6005350069,17.5472893069,16.1714395373,18.2141815902,25.661469355,22.8709999662,4.7431952906,7.60204567773,4.97315362043,6.83381572216,7.23179050968,9.27455818911,8.66436524375,6.21554711666,4.16048432401,5.52197053435,5.3956893349,6.0827625303,14.3857053713,10.4853997376,13.0110009146,10.2718573944,7.80189741598,0.94073715999,8.4628208613,10.9256966472,11.4018337779,8.73070478495,2.22800627742,2.57332436496,7.55379301095,5.2538510342,4.58408995666,7.33904496363,12.7581908019,7.81618484822,5.15910681314,14.0559393056
"2014-09-17_13-55-12_UTC.act33551.dx2019.id-12.R.png",-7701,-0.0477061089806551,0.28672307306073,505.031007751938,50.169581154978665,412.801704931,292.778037768,217.85699435,176.225644695,13.3479902663,72.3298214808,166.651786647,110.96657438,53.5638131475,34.4512442562,63.3676053994,63.1498716419,35.5358683099,22.7143878738,38.1364069883,31.1251060371,32.8296606438,64.3346055676,11.8697214813,18.3024046179,10.7157918906,29.2402235447,33.3589010623,27.3440237911,21.3796700583,37.1085498137,32.0951998154,23.3930677002,32.656663308,20.2343339787,20.8335252312,27.1070730989,17.4538213445,7.71280709532,6.67518752348,23.6145088071,34.2642934705,8.61568699849,12.2226793902,12.3170313657,14.2666717511,12.3578991904,20.0748598999,12.2157306689,13.0215113466,9.31564624741,13.2224047029,11.1047553051,13.7855164369,11.1096279492,8.11380387561,9.23706053465,8.26405807995,16.4691834795,9.56177504868,18.7933265441,13.8783353904,12.0895194809,5.91818247287,15.0395196059,12.0418365074,8.65565247569,14.4300597378
