"","loss","hurst","width","AR","MA","intercept","innovation","modulation","raw_variance","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","fit.cluster"
"2014-09-02_04-16-16_UTC.act18265.dx1004.id-0.L.png",-69.7186690780379,-140.527142118891,-14.2260578605134,73.4810894850124,-118.71700085481,5.11680275651875,-150.863678608285,-188.208389586525,-62.7774568802327,-1.29636899734045,-1.36445659299155,-1.36938022809633,-1.26351619100211,-1.40846660530607,-1.17799305177799,-1.30562133836686,-1.30996462802852,-0.994206259508725,-0.912786291218545,-1.42938238080776,-1.07766843629934,-1.26237764037514,-1.19587714250782,-1.11859981754923,-1.27347998752418,-1.28361320896273,-0.989135008292047,-0.69562698803774,-1.40896017082635,-1.0736294529868,-1.16617948909501,-1.15941708063596,-1.37923647343918,-1.30147610444952,-1.3643783338054,-1.26887621873654,-0.975915496714141,-1.30999500669788,-1.24363545336892,-1.35850723076984,-1.03875808172995,-1.24493721336442,-1.19127740520497,-0.967304995949366,-1.32355764739734,-1.30882286384881,-1.13766440801693,-1.0691947929311,-1.2535277240139,-1.33371841885609,-0.9747698829048,-1.24908306419973,-0.847116365942508,-1.29970881208146,-1.19343405121696,-1.17677650949015,-1.12779521276487,-0.635380700201442,-1.10213187461777,-1.10311078070665,-1.01339704333885,-1.03910353071153,-1.34246954400882,-1.26961574902969,-1.24676839846586,-1.09988288783394,-1.19876392808164,-0.99189061693826,-1.24218120690201,-1.33749607001327,-0.803524338253789,-1.1589313778724,1
"2014-09-02_05-44-21_UTC.act29995.dx2007.id-1.L.png",-2.92221298729024,-162.372133431904,-14.2260578605134,54.2858637314181,-118.716931807978,-5.57936565207087,-151.638947148045,-189.13931012986,-62.8868663874586,-1.31361673504601,-1.34204873740023,-1.34036162147477,-1.39903250327298,-1.38928608885236,-1.31742966169777,-1.13447498112503,-1.22232631347695,-1.23773402461933,-1.2966388423639,-1.43794234615891,-1.12600074427647,-1.38536132892441,-0.955006633472478,-1.21542878839363,-1.27701337354238,-1.39139300412193,-1.23597473144823,-1.19488812486438,-1.24422574991685,-1.31258888712853,-1.36567902152087,-1.12991942403104,-1.13840571776753,-0.950342075647315,-1.23799967708027,-1.07708188352433,-1.15857248095449,-0.94611395884667,-1.15728700238607,-1.16138600817482,-1.02590172857123,-1.19656773864837,-1.26733662928543,-1.19188894658133,-1.29190416226151,-1.34409105433186,-0.661818099930609,-1.07416362458398,-1.35392193906963,-1.16392420423057,-1.2124447316043,-0.839042584333898,-1.28335947051133,-1.23668701495769,-1.07528128375835,-1.2836812960292,-1.13090617854366,-1.11138230791325,-1.02103628917614,-1.25728404115329,-1.0105978617464,-1.25609156507901,-1.05928021814411,-1.07227718304509,-1.15938032152309,-0.99434733114846,-1.40298356276072,-1.17345088425734,-1.33135715143439,-1.34928538743261,-1.21679231115665,-1.03098536293589,1
"2014-09-02_06-18-22_UTC.act30004.dx1022.id-2.L.png",-65.0017629370326,-152.181134578018,-14.2260578605134,56.1370248158717,-118.717022431945,2.53244763716045,-146.047649011039,-188.146949296076,-62.8932732375337,-1.35518520713267,-1.40524034164423,-1.37876927074648,-1.25567233779321,-1.16531183211161,-1.24188882253627,-1.24295538549125,-1.24711164075823,-1.36665208788404,-1.44034902205487,-0.978483486742586,-1.24086342032601,-1.03251260263432,-1.03472561764113,-1.02594481319243,-1.16364575854457,-0.942149138117704,-0.968186296661391,-1.26837322305139,-0.913315212075775,-0.999595892807153,-1.13171296691608,-1.23241147956977,-0.896790678813083,-1.12746827647213,-1.10421427812841,-1.07514122807673,-1.30975038927241,-1.3514949816207,-0.858565084722004,-1.1806159315034,-1.42316715133538,-1.26568156515828,-1.06022582348658,-0.863508238870654,-1.14806619908962,-1.34864766579351,-1.26590153541216,-0.975230836404727,-1.23165651654222,-0.763083364605519,-1.18382776451898,-1.03534315107408,-1.2741653774093,-0.68357062118559,-1.24649508508362,-1.28717411906907,-1.16505787124606,-1.27088048517514,-1.19355649608321,-1.17158142462156,-1.00039436113214,-1.21628463453069,-1.19633133338486,-1.05280612608373,-1.06368929885749,-1.10662218798328,-1.10198474533529,-1.02861842822043,-0.716623877555757,-1.1445430851033,-1.15128920958871,-0.899387852533379,1
"2014-09-02_06-28-36_UTC.act30007.dx1002.id-2.L.png",-116.518397792488,-87.2668568001417,73.1052734740919,76.2005806677991,-118.716978126894,1.96322565457471,-147.669848751223,-186.816418926251,-62.7872661079139,-1.33137361100005,-1.30290168247448,-1.4025572820971,-1.10682518229131,-1.25530952951135,-1.22569891068171,-1.26281020215363,-1.1573244366589,-1.43622610453998,-1.19968883843181,-1.18753289033793,-1.14469907789826,-1.17589222184632,-1.15199690540614,-1.22491213238829,-1.21796905684068,-1.39927220298366,-0.959767402090029,-1.42341563624549,-1.25712120593717,-1.42158458421213,-0.966623432072144,-1.45662700040446,-1.21726845995522,-1.33343545975972,-0.909405556434948,-0.985020888446918,-1.10018641650186,-1.22207651891437,-1.20095928384598,-0.822439535219777,-0.967819566218963,-1.2887424155076,-1.18959621967641,-0.933089586693909,-1.10068900014686,-1.19513947870771,-1.13557713279379,-1.23446221769608,-0.989559113674034,-1.34252102147133,-1.24497288367852,-1.37973281927372,-1.24009753182246,-1.0682694129379,-1.07183096235396,-0.711578529257281,-1.30103046866834,-1.07528471436545,-1.38191685773979,-1.00817881589091,-1.33516904900214,-0.933798070330306,-1.12008238553406,-1.09709052827571,-1.17162571925496,-1.25110427583225,-1.05128458494842,-1.22892797704682,-1.06937890290242,-0.874049825107607,-0.766664381128236,-1.16656068410016,1
"2014-09-02_06-32-05_UTC.act30008.dx1015.id-1.L.png",32.3332308988374,-82.3271378827652,-14.2260578605134,81.991099394807,-118.717024014268,-2.95444412934087,-146.671922839549,-185.336940175147,-62.6335103568164,-1.26044251505201,-1.33997162078792,-1.35376577546365,-1.14998248768222,-1.46741680915429,-1.3410025196132,-1.11966783911217,-1.2709257803454,-1.29117388745696,-1.43561974728076,-1.15749844442163,-1.03303024277251,-1.23868381988649,-1.29537355024695,-0.96852867962365,-1.15374230355726,-1.41642789928655,-1.24612486114325,-1.42820503274368,-1.0731228883455,-1.28741755772575,-0.842514239798479,-1.19792643126299,-1.12764024638406,-0.890844459893438,-1.37108213872463,-1.34904967246362,-1.27459106115663,-1.02327525863845,-0.976975455464586,-1.04612912837112,-1.22172739949499,-1.30073024799134,-0.832318480520243,-1.13859920297007,-1.00840606311847,-1.29796910134137,-0.866278463030031,-1.30192746191079,-1.07247327953782,-1.15847943162152,-0.911411990545702,-1.14033209134258,-1.28731708533335,-1.16801272661391,-1.32985523496782,-1.21472690196444,-0.798631536711046,-1.18896682541653,-1.31242257342275,-1.22227192171928,-1.13737376545132,-0.965617121291228,-1.25597792376323,-1.17163785060885,-1.16280654315973,-1.36941305894977,-0.961781284449589,-1.3717308517283,-0.911163857138595,-1.119108842218,-0.76347714041877,-1.26927295567801,1
"2014-09-03_03-42-53_UTC.act18303.dx1004.id-0.L.png",-75.9234583641927,-70.0716136153991,73.1052734740919,75.6322486222228,-118.716956118217,-13.0676798692929,-149.960999184265,-187.727166746248,-61.9777972228565,-1.24524130427803,-1.14286982124605,-1.14902474876449,-1.18078720853524,-1.02997359904578,-0.991272952585513,-1.16256087603415,-1.12693963870752,-1.18525729398605,-1.14440247313347,-1.10889368093809,-0.961689512525076,-1.40171013140865,-1.02346721572673,-1.05837661041221,-1.09605612327917,-1.09197448489015,-1.28928264763978,-1.22824845976005,-1.09906059401856,-1.04734163979224,-0.991679721866914,-1.3304849089052,-0.970734013788801,-0.670463595440791,-0.733573166853914,-1.10766557974829,-1.20380899041212,-1.16554488225056,-0.960533665124698,-0.656252748808825,-1.00236716580553,-1.15073067462641,-1.21794664499127,-1.15009468894923,-0.813613594737087,-1.04854078469474,-0.761203899379103,-0.817095728614879,-1.13895875022448,-0.755492994229288,-0.995173894295243,-1.19167926394753,-1.1586198668976,-0.902257781151676,-1.21472699829526,-1.12485150463189,-0.89550898848963,-0.945387192225899,-0.885873009307352,-1.05470661606664,-0.803656411484015,-1.00556460440847,-1.01508687210798,-1.0295905189519,-1.35936638566557,-1.02320369216381,-1.10495455890443,-1.025029506071,-0.987230518552244,-0.758179313963182,-1.28424529963768,-1.15540443271343,1
"2014-09-03_03-42-56_UTC.act18303.dx1000.id-1.L.png",57.1840451316511,-114.813378154186,-14.2260578605134,72.930527237662,-118.716976256876,-13.9669510960828,-148.585217057827,-187.665343322858,-61.7988436937723,-1.22235119853138,-1.11220052838707,-1.16576771350838,-1.18090591702184,-1.14203853921513,-0.937000071001681,-1.09721995074626,-1.06143118411845,-1.05076108980872,-1.27610048386439,-0.970864294013565,-1.27206953785091,-1.23727285637986,-0.971236094802439,-0.802917720332027,-1.24715908468499,-0.886707879969468,-1.31141648976708,-1.35376437604274,-1.10378159618947,-0.889407213336403,-0.615259721752296,-1.04070534233183,-1.11867995055236,-1.09319336068575,-0.944249255814568,-1.11782103701728,-0.825739287787957,-1.29913918092677,-0.977824259695339,-0.926789926592229,-0.756336064428184,-1.07635053906777,-1.07734760199567,-1.15069333482678,-0.864734913327627,-0.666899904157729,-0.72498675574753,-0.951158666765046,-1.09027427997107,-1.11496480985247,-1.25243306041054,-0.900758025962442,-0.951224052651755,-1.08393520380827,-0.532260097314307,-1.34915908083105,-0.928040950999136,-1.06528546283374,-1.29691383349856,-0.846223820776249,-1.13327831086736,-1.10569804865472,-1.33315736458422,-0.875018790921673,-1.27503853090805,-0.888109887486867,-1.14945628903898,-1.15424394416821,-0.839759160166372,-1.23676518434357,-0.676171372152946,-1.01906383758873,1
"2014-09-03_03-42-56_UTC.act18303.dx1007.id-1.L.png",-91.8891831770365,-72.7442924759066,-14.2260578605134,72.6791088255043,-118.715835257968,-13.2978153719825,-148.331292172498,-187.593827820654,-61.9065837293721,-1.23659485823691,-1.13432291660161,-1.14062376693358,-1.19148199810452,-1.04579800383211,-1.02879737810397,-1.15227402906984,-1.1683516627204,-1.08259232198998,-1.04444840350706,-0.922349951066872,-0.995165183568618,-1.35405191498507,-0.984380323187062,-0.997809215736505,-1.1536066905429,-0.981907442482682,-1.42737006169317,-1.21387978194022,-1.28032204219132,-1.10367383281281,-1.0427374640337,-1.17883968632047,-1.28361928155797,-0.716706535235953,-0.890355733089078,-0.83071355006558,-1.06789550098851,-0.960275863833391,-1.05721217551824,-0.736111033315482,-0.601242578122315,-0.986669606045486,-1.31923783320518,-1.10269207851394,-1.08027824879365,-0.884593164284066,-1.01799901987198,-1.05661415340075,-1.09009534728138,-0.947373525479168,-0.831398485347103,-1.06047705227345,-1.21460580229063,-1.10440818806494,-1.00091663267351,-0.825261410755898,-0.847954298468684,-0.99734832454093,-1.08660707270823,-1.08043526332507,-0.659367864582025,-1.00147113334177,-0.980605804966381,-1.1404344843047,-1.15926301539917,-0.885794266238395,-1.13169858106269,-0.730247314704458,-1.22669442147304,-1.40427878109129,-0.826110450047159,-1.07092017793247,1
"2014-09-03_04-01-10_UTC.act18312.dx1010.id-1.L.png",52.414377176988,-156.070317282716,-14.2260578605134,53.8532289878026,-107.850173146659,-13.9050830134274,-149.509960546252,-188.264751472138,-61.6771885104134,-1.13468319767634,-1.24712538480823,-1.20619711720323,-1.1991013464994,-1.24753511354908,-1.34678423663092,-1.42782667075346,-1.29285640309967,-1.36959942125186,-1.03280968789846,-1.00913425829662,-0.834808038100792,-1.08934803304345,-1.07440619539655,-0.875894079977538,-1.29422899834395,-1.05677347197941,-1.16213939981629,-0.883768463278409,-1.13448672840648,-1.04794538316385,-1.11199066706234,-0.609216951357554,-0.872252253339164,-1.3762996213188,-0.589049882372265,-1.25161691875034,-1.29291771272407,-1.29388467001565,-1.34624585059783,-1.15063709536715,-1.34689077844191,-1.15293535950627,-1.10141076157753,-0.839111347466548,-1.12277097447632,-1.13507761373705,-0.927852056771335,-1.03967726128604,-0.815469426720512,-0.943806057198184,-0.944500303284747,-1.41618717725531,-1.06033405146653,-0.866901608483379,-1.05518803275143,-0.549340093804678,-1.13779636547381,-0.927976050946562,-0.82552521113981,-1.0463771417166,-1.2995548829395,-0.986787843107836,-1.15377601935081,-0.608243778279302,-1.13266707178731,-0.935581481071182,-0.982720358749063,-1.16919668598416,-1.31352294599952,-1.20475438449368,-1.22933452624637,-1.07710588027884,1
"2014-09-03_04-01-12_UTC.act18312.dx1009.id-2.L.png",-37.4495438449406,-148.511582512035,-14.2260578605134,47.2066950034325,-118.716994669365,-14.3317732313345,-149.282736429692,-188.990271698989,-61.8475351774538,-1.19159805050991,-1.22381819676742,-1.22522495214615,-1.11482700427537,-1.07468167607943,-1.16094787782872,-0.963393536200398,-0.89038725386465,-1.14942122199546,-1.27002282108457,-1.17495045884302,-1.2288649449872,-1.09754320213911,-1.24621459500052,-1.07798712619141,-1.44508113290446,-1.23595769667652,-0.965513636108778,-1.32524549546415,-0.963152393473773,-1.00244254622527,-1.08212472752269,-0.969461550462316,-0.695825021298284,-1.1239671685454,-0.871634347686364,-0.948614736589529,-0.955852167948992,-0.594321370565677,-0.676014768526965,-0.773381773290789,-0.983349279635537,-1.04944739099787,-0.774284842860855,-1.22882257017095,-0.924392008230165,-1.13150830611364,-0.534070468835705,-1.26944889804156,-0.898028293629216,-1.14152384711051,-1.12166276258205,-0.814571564487711,-0.914745193109963,-0.561454310858932,-1.32475568665616,-1.04810643792874,-1.19817646046675,-0.786739906452195,-0.966535683578367,-0.549513316700855,-0.892027847999648,-1.09175303884818,-1.05930405980665,-0.940791318880646,-0.381101034160551,-1.28458731791891,-0.996045299361498,-1.1483727560142,-1.25739954861768,-0.925107669921583,-0.927521985628047,-1.24185246012587,1
